,index,Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Day,Feedback,correct
438,461,1,2,2,3,0.691,1.0,2,1,1
439,462,1,1,1,3,0.382,1.444,2,1,1
440,463,1,2,2,2,0.606,0.912,2,1,1
441,464,1,2,1,3,0.337,0.559,2,1,0
442,466,1,1,1,4,0.349,0.718,2,1,1
443,467,1,1,1,3,0.557,0.656,2,1,1
444,468,1,2,2,2,0.769,1.635,2,1,1
445,469,1,2,2,3,0.621,0.686,2,1,1
446,471,1,1,1,3,0.621,0.929,2,1,1
447,472,1,1,1,4,0.381,0.748,2,1,1
448,473,1,2,1,3,0.444,1.169,2,1,0
449,474,1,2,1,2,0.91,2.928,2,1,0
450,475,1,1,1,4,0.334,0.667,2,1,1
451,476,1,2,2,2,1.427,0.527,2,1,1
452,477,1,2,2,2,0.697,0.381,2,1,1
453,478,1,2,2,3,0.735,0.473,2,1,1
454,479,1,1,1,4,0.323,0.839,2,1,1
455,480,1,2,1,2,1.018,1.288,2,1,0
456,481,1,2,1,2,0.631,0.522,2,1,0
457,482,1,2,2,2,0.688,0.791,2,1,1
458,483,1,2,1,2,1.035,0.952,2,1,0
459,485,1,2,1,2,0.86,0.675,2,1,0
460,486,1,1,1,4,0.372,0.792,2,1,1
461,488,1,2,1,3,0.445,0.937,2,1,0
462,489,1,2,1,3,0.411,0.382,2,1,0
463,490,1,2,1,2,0.409,2.238,2,1,0
464,491,1,1,1,4,0.299,0.393,2,1,1
465,492,1,2,1,4,0.407,0.91,2,1,0
466,493,1,2,1,3,0.959,1.28,2,1,0
467,494,1,2,1,2,0.976,0.35,2,1,0
468,495,1,1,1,4,0.535,1.496,2,1,1
469,496,1,1,1,3,0.546,0.504,2,1,1
470,497,1,2,2,2,1.668,0.745,2,1,1
471,498,1,2,2,2,0.674,0.499,2,1,1
472,499,1,2,2,1,1.84,1.483,2,1,1
473,500,1,1,1,3,0.327,0.966,2,1,1
474,501,1,1,1,3,0.337,2.284,2,1,1
475,502,1,1,1,4,0.315,0.792,2,1,1
476,503,1,1,1,3,0.373,0.48,2,1,1
477,504,1,1,1,3,0.696,2.244,2,1,1
478,505,1,1,1,3,0.455,0.723,2,1,1
479,506,1,1,1,3,0.416,0.707,2,1,1
480,507,1,1,1,4,0.281,0.409,2,1,1
481,509,1,1,1,3,0.391,0.535,2,1,1
482,510,1,2,2,3,0.591,0.882,2,1,1
483,511,1,1,1,3,0.481,0.526,2,1,1
484,512,1,1,2,2,1.101,0.768,2,1,0
485,513,1,2,2,1,0.655,1.269,2,1,1
486,515,1,2,2,2,0.897,0.738,2,1,1
487,516,1,1,1,3,0.603,0.726,2,1,1
488,517,1,1,1,3,0.388,0.37,2,1,1
489,518,1,1,1,4,0.522,1.097,2,1,1
490,519,1,1,1,4,0.328,0.355,2,1,1
491,520,1,1,1,2,1.393,2.015,2,1,1
492,521,1,1,1,2,0.385,2.158,2,1,1
493,522,1,1,1,4,0.288,0.686,2,1,1
494,523,1,2,1,2,1.336,0.453,2,1,0
495,524,1,2,2,3,0.574,1.425,2,1,1
496,525,1,2,2,3,0.445,0.441,2,1,1
497,526,1,2,2,3,0.455,0.859,2,1,1
498,527,1,1,1,4,0.41,0.729,2,1,1
499,528,1,1,1,4,0.329,0.819,2,1,1
500,529,1,1,1,3,0.506,1.077,2,1,1
501,530,1,1,1,4,0.397,0.449,2,1,1
502,531,1,1,1,3,0.371,1.069,2,1,1
503,532,1,1,1,2,1.073,0.535,2,1,1
504,533,1,2,2,3,0.576,0.574,2,1,1
505,534,1,2,2,2,1.342,0.883,2,1,1
506,535,1,2,2,3,0.5,1.24,2,1,1
507,536,1,2,2,3,0.632,0.472,2,1,1
508,537,1,2,2,4,0.927,0.949,2,1,1
509,538,1,2,2,2,1.021,1.498,2,1,1
510,539,1,2,2,3,0.818,1.369,2,1,1
511,540,1,2,2,4,0.783,0.875,2,1,1
512,541,1,2,2,3,0.51,0.512,2,1,1
513,543,1,1,1,3,0.506,0.463,2,1,1
514,544,1,1,1,4,0.529,0.965,2,1,1
515,545,1,2,1,2,1.087,0.652,2,1,0
516,546,1,1,1,3,0.705,2.241,2,1,1
517,547,1,1,1,2,0.473,0.412,2,1,1
518,548,1,2,2,2,1.083,0.424,2,1,1
519,549,1,1,1,2,1.99,0.699,2,1,1
520,550,1,2,1,3,0.457,0.722,2,1,0
521,552,1,1,1,4,0.296,0.667,2,1,1
522,553,1,1,1,4,0.307,0.998,2,1,1
523,554,1,2,1,3,0.596,0.452,2,1,0
524,555,1,1,1,3,0.524,0.488,2,1,1
525,556,1,1,1,4,0.471,1.293,2,1,1
526,557,1,1,1,4,0.305,0.336,2,1,1
